gene_id,L1,L2,L3,R1,R2,R3
MSTRG.2724|Solyc01g109710.3,346,312,204,1328,1837,1704
MSTRG.2727|Solyc01g109750.2,118,45,38,855,1228,1159
MSTRG.2729|Solyc01g109770.3,5902,6243,4829,11924,14942,15445
MSTRG.2732|Solyc01g109780.3,3850,4724,2971,1350,1748,1505
MSTRG.2733|Solyc01g109790.3,5007,5000,3498,5762,7634,7611
MSTRG.2730,382,351,387,882,1099,1093
MSTRG.2731,628,641,481,1434,2079,1969
MSTRG.2734|Solyc01g109800.2,220,265,145,577,763,582
MSTRG.2735|Solyc01g109810.2,190,271,144,419,656,437
Solyc01g109820.1|Solyc01g109820.1,7,28,8,16,15,0
MSTRG.2736|Solyc01g109830.3,2558,2923,2218,6138,8222,7070
MSTRG.2737|Solyc01g109850.3,17724,20478,14641,16695,19578,20292
MSTRG.2739|Solyc01g109870.3,8730,9236,6612,33621,45044,41972
MSTRG.2740|Solyc01g109880.3,649,872,536,2719,2913,3344
MSTRG.2741|Solyc01g109890.3,2029,2329,1953,5718,7615,7414
MSTRG.2743|Solyc01g109910.3,1482,1327,864,3933,5092,4850
MSTRG.2744|Solyc01g109930.3,2338,2820,2027,3589,4309,3924
MSTRG.2745|Solyc01g109940.3,20730,23222,17355,35489,43932,44131
Solyc01g109950.3|Solyc01g109950.3,248,221,219,0,4,0
MSTRG.2746|Solyc01g109960.3,2735,3033,2356,6220,8087,7294
MSTRG.2747|Solyc01g109970.3,1277,1301,1091,3610,5254,4490
MSTRG.2750|Solyc01g110000.3,4859,4936,4668,11390,16324,14923
MSTRG.2751|Solyc01g110010.3,340,306,229,650,1035,853
MSTRG.2753|Solyc01g110030.3,1884,1758,1310,3797,4742,4885
MSTRG.2754|Solyc01g110060.3,2500,3385,2287,1124,1387,1552
MSTRG.2756|Solyc01g110120.3,37884,43059,30597,63552,87349,85130
MSTRG.2757|Solyc01g110110.3,339,328,188,681,701,795
MSTRG.2759|Solyc01g110130.3,24119,24822,15532,19600,24147,22589
Solyc01g110140.3|Solyc01g110140.3,12,0,0,331,495,385
MSTRG.2758|Solyc01g110150.2,559,754,518,1605,1648,1725
MSTRG.2760|Solyc01g110160.3,7915,9767,7248,84,112,84
MSTRG.2761|Solyc01g110180.3,41,61,80,15,19,9
MSTRG.2762|Solyc01g110190.3,3737,4490,3303,1448,2242,1819
MSTRG.2763|Solyc01g110270.3,5491,6975,5220,670,913,924
MSTRG.2764|Solyc01g110280.3,8326,9355,7556,1162,1462,1562
MSTRG.2765|Solyc01g110290.3,13831,15697,11701,17096,21576,19459
MSTRG.2766|Solyc01g110300.3,2982,3742,2951,7156,9179,9820
MSTRG.2767|Solyc01g110310.3,5191,5255,4022,8892,10391,11754
Solyc01g110320.3|Solyc01g110320.3,10,6,0,12,7,12
MSTRG.2768|Solyc01g110340.3,1899,1866,1284,2390,3422,2729
MSTRG.2769|Solyc01g110350.2,194,290,139,1013,1020,992
MSTRG.2770|Solyc01g110360.3,674176,792351,568499,141,157,176
MSTRG.2771|Solyc01g110365.1,432,430,102,2,0,3
MSTRG.2775|Solyc01g110380.3,1472,1746,1230,18860,24301,23551
MSTRG.2774|Solyc01g110385.1,7497,8703,6727,21109,25085,26495
MSTRG.2773|Solyc01g110400.2,653,604,489,2252,2519,2837
MSTRG.2776|Solyc01g110410.3,7117,7982,5955,14783,18681,17907
MSTRG.2777|Solyc01g110440.4,100186,101507,70180,93207,120668,97787
MSTRG.2779|Solyc01g110450.3,4143,4609,3717,10010,11214,12186
MSTRG.2780|Solyc01g110460.3,799,892,647,1766,2249,2192
MSTRG.2780,84,98,141,150,136,145
MSTRG.2781|Solyc01g110470.3,355,416,334,933,1139,1167
MSTRG.2782|Solyc01g110480.3,5496,5879,4613,13647,20360,20410
MSTRG.2784|Solyc01g110500.3,61,80,43,525,753,667
MSTRG.2785|Solyc01g110530.3,6286,6445,4934,18084,21360,22876
MSTRG.2788|Solyc01g110540.3,2706,3099,3109,8074,9086,10525
MSTRG.2789|Solyc01g110550.3,9127,10872,9138,8276,10298,10727
MSTRG.2790|Solyc01g110560.3,387,499,329,1415,1296,2226
MSTRG.2791|Solyc01g110590.3,595,644,536,211,246,254
MSTRG.2791|Solyc01g110570.3,477,792,547,113,210,152
MSTRG.2792|Solyc01g110580.2,1072,1017,831,325,291,335
MSTRG.2793|Solyc01g110600.2,293,300,212,0,11,9
MSTRG.2794|Solyc01g110605.1,451,510,531,7,15,31
MSTRG.2796|Solyc01g110610.3,131,88,74,4,0,12
MSTRG.2797|Solyc01g110630.3,14,21,20,1,0,0
MSTRG.2798|Solyc01g110640.2,24,17,7,15,28,23
MSTRG.2799|Solyc01g110643.1,45,67,43,69,76,35
MSTRG.2795,36,51,37,444,229,579
Solyc01g110647.1|Solyc01g110647.1,8,0,0,4,0,3
MSTRG.2809|Solyc01g110660.3,116,140,113,48,53,53
MSTRG.2810|Solyc01g110670.3,281,256,180,101,126,107
MSTRG.2811,472,369,362,76,108,76
MSTRG.2812|Solyc01g110680.3,131,100,144,161,206,97
MSTRG.2813|Solyc01g110682.1,61,49,55,106,127,79
MSTRG.2814|Solyc01g110684.1,58,44,67,65,85,67
MSTRG.2815|Solyc01g110686.1,51,38,25,44,58,60
MSTRG.2816|Solyc01g110688.1,48,54,20,198,104,152
MSTRG.2817|Solyc01g110710.3,20,20,7,8,1,6
MSTRG.2818|Solyc01g110720.2,46,57,30,28,16,21
MSTRG.2818|Solyc01g110730.3,63,59,53,27,57,43
MSTRG.2819|Solyc01g110735.1,314,335,193,423,584,380
MSTRG.2819|Solyc01g110760.2,8,18,6,95,58,77
Solyc01g110780.1|Solyc01g110780.1,20,34,24,2,3,1
Solyc01g110790.3|Solyc01g110790.3,3,2,3,0,0,0
Solyc01g110800.3|Solyc01g110800.3,23,0,3,29,20,36
MSTRG.2801|Solyc01g110810.3,800,895,766,1955,2360,2324
MSTRG.2801|Solyc01g110820.3,125,5,2,4,2,6
MSTRG.2802|Solyc01g110860.1,5,0,0,56,49,82
MSTRG.2803|Solyc01g110870.3,6,0,0,47,24,81
MSTRG.2807|Solyc01g110880.1,63,88,49,0,8,35
Solyc01g110900.1|Solyc01g110900.1,18,11,16,9,7,22
MSTRG.2820|Solyc01g110910.3,39,55,43,108,170,157
MSTRG.2821|Solyc01g110913.1,27,27,22,13,34,11
MSTRG.2822|Solyc01g110917.1,60,106,94,71,154,153
MSTRG.2823|Solyc01g110920.3,596,625,379,370,675,506
MSTRG.2823|Solyc01g110925.1,4,16,0,10,14,13
MSTRG.2823|Solyc01g110930.1,21,23,0,19,14,33
MSTRG.2824|Solyc01g110940.3,318,319,369,0,20,9
MSTRG.2825|Solyc01g110950.3,6,1,0,0,5,3
MSTRG.2827|Solyc01g110990.2,3246,3548,2350,7472,11231,9072
MSTRG.2832|Solyc01g111080.3,29775,38859,35552,8196,10615,14300
MSTRG.2833|Solyc01g111040.3,601,524,287,44,105,57
MSTRG.2835|Solyc01g111070.3,6377,10217,7404,2570,4680,3575
MSTRG.2836|Solyc01g111090.3,2540,2553,2120,8556,11555,10958
MSTRG.2830|Solyc01g111100.4,735,564,510,90,174,231
MSTRG.2830|Solyc01g111105.1,1,2,1,0,3,1
MSTRG.2829|Solyc01g111110.3,740,654,526,1362,1589,1426
MSTRG.2838|Solyc01g111130.3,1504,1813,1316,2884,3330,3024
MSTRG.2839|Solyc01g111140.3,1374,1615,1168,2866,3285,3118
MSTRG.2840|Solyc01g111150.2,4487,5304,3304,23818,28470,28385
MSTRG.2842|Solyc01g111145.1,122701,131623,97774,32837,45032,33819
MSTRG.2843|Solyc01g111160.3,1266,1397,661,61,76,17
MSTRG.2841|Solyc01g111170.3,137385,153532,114085,226113,269939,251825
MSTRG.2845|Solyc01g111190.3,552,560,388,762,1219,896
MSTRG.2844|Solyc01g111200.3,13996,16231,11414,14860,19975,20955
MSTRG.2848|Solyc01g111210.3,1014,726,571,2671,3682,3532
MSTRG.2849|Solyc01g111220.3,56,52,66,119,172,200
MSTRG.2847|Solyc01g111235.1,7,22,26,305,489,349
MSTRG.2851|Solyc01g111240.3,15103,16522,11141,23984,35693,28227
MSTRG.2884|Solyc01g111640.3,114,87,58,3919,5216,4391
MSTRG.2885|Solyc01g111650.3,5938,6457,4937,13381,15811,15514
MSTRG.2883|Solyc01g111630.3,221218,254259,191590,42,113,126
MSTRG.2906|Solyc01g111850.3,0,0,0,0,0,0
MSTRG.2907|Solyc01g111860.3,1444,1495,1097,2834,3911,3237
MSTRG.2905|Solyc01g111840.3,873,981,662,5686,7409,6558
MSTRG.2908|Solyc01g111870.2,1046,1235,747,2025,3258,2301
MSTRG.2911|Solyc01g111880.3,2421,1706,799,12185,17414,14052
MSTRG.2909|Solyc01g111890.3,5709,5823,4299,20307,26164,22198
MSTRG.2912|Solyc01g111910.3,2293,2681,2233,5925,8515,7242
MSTRG.2913|Solyc01g111920.3,2111,2123,1458,5533,7235,7363
MSTRG.2914|Solyc01g111930.3,34,12,15,90,80,107
MSTRG.2913|Solyc01g111933.1,1,2,1,2,2,1
MSTRG.2914|Solyc01g111937.1,2788,3301,2128,5288,6072,6439
Solyc01g111960.3|Solyc01g111960.3,106,79,24,0,0,4
Solyc01g111970.3|Solyc01g111970.3,136,62,100,135,223,247
MSTRG.2915|Solyc01g111940.3,0,0,0,0,0,0
MSTRG.2915|Solyc01g111950.3,2846,2993,2234,8103,10313,10361
MSTRG.2916|Solyc01g111980.3,2041,2348,1531,27284,45710,45808
MSTRG.2888|Solyc01g111670.3,0,0,1,1,0,4
MSTRG.2887|Solyc01g111680.3,2917,3337,2246,9974,14624,12129
MSTRG.2892|Solyc01g111710.3,8450,10048,7828,29775,37145,36573
MSTRG.2900|Solyc01g111800.3,345,446,356,458,743,567
MSTRG.2902|Solyc01g111820.2,0,7,0,75,99,90
MSTRG.2898,0,0,0,191,240,386
MSTRG.2886|Solyc01g111660.3,27935,31448,22177,18675,26242,29577
MSTRG.2890|Solyc01g111690.3,776,983,780,2511,3137,3258
MSTRG.2891|Solyc01g111700.2,94,100,46,497,544,561
MSTRG.2889|Solyc01g111720.3,3079,3460,2630,6187,8463,7902
MSTRG.2893|Solyc01g111730.3,2972,3029,2629,4868,6672,6185
MSTRG.2894|Solyc01g111740.3,552,754,421,1664,2102,1633
MSTRG.2895|Solyc01g111750.3,18596,20185,15520,1451,1829,2145
MSTRG.2896|Solyc01g111760.3,37069,43581,30566,54166,71988,73109
MSTRG.2897|Solyc01g111765.1,1077,1323,842,3709,4831,5073
MSTRG.2903|Solyc01g111780.3,12336,14355,9980,27913,39166,35815
MSTRG.2904|Solyc01g111790.2,28,57,28,66,159,90
MSTRG.2901|Solyc01g111810.3,832,932,628,779,1016,1075
MSTRG.2899|Solyc01g111830.3,18935,20447,16201,24247,28938,31150
MSTRG.2918|Solyc01g112000.3,1393,1799,925,15358,18797,26387
MSTRG.2919|Solyc01g112010.3,143,222,160,291,352,287
MSTRG.2921|Solyc01g112020.3,2517,3131,2172,9807,12431,12973
MSTRG.2917|Solyc01g111990.3,26306,31870,22148,1183,1420,1107
MSTRG.2920,890,991,597,1557,2338,2023
MSTRG.2922|Solyc01g112050.3,3572,4067,3180,7364,10358,9116
MSTRG.2923|Solyc01g112040.2,0,0,0,0,0,0
MSTRG.2925|Solyc01g112080.3,337,321,181,4594,5993,6093
MSTRG.2926|Solyc01g112090.3,2063,2449,1620,3574,4791,4717
MSTRG.2927|Solyc01g112100.3,1378,1855,1400,1201,1925,1952
MSTRG.2924|Solyc01g112070.3,3717,39763,2391,4006,6046,5431
MSTRG.2924|Solyc01g112060.3,42674,11799,38831,54,52,22
MSTRG.2932|Solyc01g112170.3,1124,1353,1100,2412,2907,2680
MSTRG.2929|Solyc01g112140.3,4351,2076,1599,13039,24840,21597
MSTRG.2929|Solyc01g112130.3,0,0,0,0,0,0
MSTRG.2929|Solyc01g112120.3,16,2,2,1,1,1
MSTRG.2929|Solyc01g112150.3,611,3414,2208,7430,2580,4691
MSTRG.2930|Solyc01g112160.3,4237,4629,3600,1560,1641,1930
MSTRG.2931|Solyc01g112165.1,18,7,0,2,4,7
MSTRG.2928|Solyc01g112180.3,986,1167,811,1928,2437,2137
MSTRG.2928|Solyc01g112175.1,133,114,130,278,339,257
MSTRG.2936|Solyc01g112220.3,146,136,133,3316,4680,4774
MSTRG.2933|Solyc01g112190.3,1120,1207,1039,1090,1289,1126
MSTRG.2934|Solyc01g112200.3,42,159,102,490,474,571
MSTRG.2935|Solyc01g112210.3,1201,1413,986,5955,8627,7368
MSTRG.2938|Solyc01g112245.1,1463,1812,1286,5575,7170,6997
MSTRG.2938|Solyc01g112240.3,35,28,24,94,93,115
MSTRG.2939|Solyc01g112260.3,4129,4484,3959,3492,4673,5379
MSTRG.2940|Solyc01g112250.3,4785,5588,3675,24964,34334,32285
MSTRG.2941|Solyc01g112270.1,1,3,0,7,2,1
MSTRG.2941|Solyc01g112280.3,2202,2282,1613,7160,10164,8975
MSTRG.2943|Solyc01g112310.3,3223,3280,2379,3064,3667,3386
MSTRG.2944|Solyc01g112303.1,0,4,2,5,3,2
MSTRG.2943|Solyc01g112300.3,87,107,86,32,74,17
MSTRG.2943|Solyc01g112305.1,3,3,0,4,9,4
MSTRG.2942|Solyc01g112290.3,28343,33362,24481,11831,15118,13703
MSTRG.2945|Solyc01g112320.3,2089,2665,1812,4759,5487,5232
Solyc02g043970.1|Solyc02g043970.1,21,7,5,1,0,0
MSTRG.2947|Solyc02g043940.1,493,573,484,0,0,0
MSTRG.2946|Solyc01g112350.3,7177,7957,5590,21672,30270,25015
MSTRG.2946|Solyc01g112340.3,8,3,3,8,27,16
MSTRG.2949|Solyc02g043810.3,74,53,35,1159,1551,1443
MSTRG.2950|Solyc02g043815.1,0,0,0,0,0,0
Solyc02g055530.3|Solyc02g055530.3,0,15,0,5,13,0
Solyc02g055535.1|Solyc02g055535.1,0,0,0,0,0,0
Solyc02g055520.1|Solyc02g055520.1,0,0,0,0,0,0
Solyc02g055510.1|Solyc02g055510.1,1,0,0,0,4,0
MSTRG.2951|Solyc02g055565.1,904,946,790,1985,2376,2297
MSTRG.2951|Solyc02g055550.3,1,2,1,5,4,3
MSTRG.2948|Solyc02g043864.1,0,0,0,0,0,1
MSTRG.2948|Solyc02g043830.2,0,0,0,0,7,0
MSTRG.2948|Solyc02g043860.3,3605,3951,2873,12601,17611,15315
MSTRG.2952|Solyc02g055370.3,38,37,47,724,766,466
MSTRG.2953,787,1016,913,787,1075,531
MSTRG.2956,630,689,455,359,614,481
MSTRG.2954|Solyc02g055460.2,1294,1494,961,2654,3801,3554
MSTRG.2954|Solyc02g055465.1,0,1,0,2,1,2
MSTRG.2955|Solyc02g055467.1,81,183,52,16,10,0
MSTRG.2955|Solyc02g055440.3,10119,11381,9064,90,86,68
Solyc02g049080.1|Solyc02g049080.1,4,0,0,31,16,40
MSTRG.2957|Solyc02g049070.3,8250,9707,7399,3235,3818,4069
MSTRG.2958|Solyc02g050180.3,1054,1363,881,2098,2823,2609
MSTRG.2958|Solyc02g050183.1,1,0,0,0,0,0
MSTRG.2958|Solyc02g050187.1,3,6,7,10,32,23
MSTRG.2959,53,87,52,174,259,252
MSTRG.2960,337,387,325,232,219,305
MSTRG.2961|Solyc02g050200.2,688,851,484,1659,2581,2376
MSTRG.2961|Solyc02g050210.2,5,3,0,18,20,41
MSTRG.2962|Solyc02g050207.1,0,0,0,4,0,2
MSTRG.2962|Solyc02g050240.3,4026,4324,3079,11182,14883,14391
MSTRG.2962|Solyc02g050205.1,2,2,6,25,34,33
MSTRG.2963,27,50,31,150,197,231
MSTRG.2965|Solyc02g050283.1,0,0,0,0,6,0
MSTRG.2964|Solyc02g050280.3,2477,2889,2188,6106,8052,7501
MSTRG.2964|Solyc02g050287.1,5,8,3,3,10,8
MSTRG.2966|Solyc02g050330.1,1335,1625,1234,2533,3133,2599
MSTRG.2967,540,605,484,393,452,396
MSTRG.2970|Solyc02g005100.2,0,0,0,0,0,0
MSTRG.2969,776,909,696,1079,1418,1256
MSTRG.2968|Solyc00g008680.3,6531,7165,5406,16343,22124,20830
MSTRG.2971|Solyc02g005115.1,479,669,471,148,337,198
MSTRG.2971|Solyc02g005110.3,287,215,242,119,51,67
MSTRG.2972|Solyc02g005140.3,1306,1352,961,3027,4423,3005
MSTRG.2975|Solyc02g005180.3,7418,8752,5748,4213,5901,4482
MSTRG.2973|Solyc02g005200.3,13451,14762,11628,797,766,803
Solyc02g005280.1|Solyc02g005280.1,126,94,109,135,271,219
MSTRG.2977|Solyc02g005290.3,1417,1538,1097,1497,1644,1550
MSTRG.2976,422,354,272,765,1106,1012
MSTRG.2974|Solyc02g005210.3,16633,19697,15706,1384,1722,1637
MSTRG.2978|Solyc02g005315.1,0,0,0,0,1,0
MSTRG.2978|Solyc02g005310.2,387,419,378,1072,1456,1314
MSTRG.2978|Solyc02g005320.2,12,6,9,22,57,30
MSTRG.2979|Solyc02g005350.3,4054,4669,3890,11786,14573,15987
MSTRG.2980|Solyc02g005480.3,3089,3324,2591,8655,10594,10892
Solyc02g005513.1|Solyc02g005513.1,0,0,0,0,5,0
Solyc02g005530.2|Solyc02g005530.2,68,31,9,30,6,30
Solyc02g011680.3|Solyc02g011680.3,105,74,73,210,267,251
MSTRG.2982|Solyc02g014030.2,72,93,51,965,1485,1323
MSTRG.2981|Solyc02g005510.3,1571,1725,1534,2483,2869,2841
MSTRG.2983,344,367,268,1074,1308,1097
Solyc02g014040.1|Solyc02g014040.1,0,0,0,7,0,0
Solyc02g014050.2|Solyc02g014050.2,5,0,2,0,0,0
Solyc02g014070.2|Solyc02g014070.2,12,21,0,52,50,93
Solyc02g014073.1|Solyc02g014073.1,11,0,0,7,5,4
MSTRG.2984|Solyc02g014090.3,1715,1614,1097,4488,5489,5685
MSTRG.2985,209,180,219,524,583,674
MSTRG.2987|Solyc02g014130.2,6581,6683,4941,12499,17873,14284
MSTRG.2987|Solyc02g014095.1,5,2,2,6,13,4
MSTRG.2989,68,129,96,363,368,360
MSTRG.2986|Solyc02g014150.3,67185,77350,60161,392,578,610
MSTRG.2991|Solyc02g014170.3,0,6,0,0,0,0
MSTRG.2991|Solyc02g014180.1,0,2,0,0,1,15
MSTRG.2992|Solyc02g014183.1,0,0,0,0,0,0
MSTRG.2991|Solyc02g014190.3,8504,8096,6030,17148,25760,17304
MSTRG.2991|Solyc02g014187.1,3,0,2,4,6,6
MSTRG.2995|Solyc02g014360.3,367,509,309,1396,1990,1673
MSTRG.2994|Solyc02g014310.3,17128,21775,15185,76467,101134,96504
MSTRG.2996|Solyc02g014350.3,3018,3174,2409,6418,8649,7556
MSTRG.2996|Solyc02g014355.1,0,0,0,3,1,2
Solyc02g014430.3|Solyc02g014430.3,39,51,46,57,17,29
MSTRG.2997|Solyc02g014380.3,2562,2801,2248,8791,11625,11112
MSTRG.3000|Solyc02g014470.3,439,451,248,1165,1596,1582
Solyc02g014490.3|Solyc02g014490.3,19,27,11,34,48,56
MSTRG.2998|Solyc02g014455.1,0,0,0,0,0,0
MSTRG.2998|Solyc02g014450.2,630,1057,696,1594,2182,2051
MSTRG.2999|Solyc02g014460.3,3572,3400,2434,1591,1732,2004
MSTRG.3002,11,13,12,110,86,98
Solyc02g014560.3|Solyc02g014560.3,52,69,38,183,326,248
Solyc02g014690.1|Solyc02g014690.1,4,0,0,0,1,0
MSTRG.3001|Solyc02g014520.3,1908,2606,1660,2509,3356,2801
Solyc02g014740.2|Solyc02g014740.2,12,4,0,15,23,8
MSTRG.3006|Solyc02g014730.3,8,18,14,1242,1504,1078
Solyc02g014750.1|Solyc02g014750.1,10,0,6,2,0,7
MSTRG.3008,82,135,101,322,401,363
MSTRG.3007|Solyc02g014720.3,2026,2191,1598,6385,8627,8712
MSTRG.3009|Solyc02g014770.3,1669,2053,1421,3930,5208,5046
MSTRG.3011|Solyc02g014840.3,199,159,177,1367,2120,2549
MSTRG.3010|Solyc02g014830.3,1693,2040,1551,1171,1675,1619
Solyc02g020880.2|Solyc02g020880.2,81,96,78,22,31,28
MSTRG.3014|Solyc02g020890.3,328,432,257,2652,3908,3348
MSTRG.3012|Solyc02g014860.3,1048,1818,1319,118,92,89
MSTRG.3013|Solyc02g014870.3,4369,4817,4104,12559,16354,15686
MSTRG.3015|Solyc02g020900.1,415,510,317,1308,1645,1584
MSTRG.3018|Solyc02g020910.3,18714,20506,13255,18127,25481,20952
MSTRG.3017|Solyc02g020940.3,118699,135367,98876,23,27,24
MSTRG.3019,275,327,243,834,934,905
MSTRG.3021|Solyc02g020980.3,33704,36420,26932,9611,13250,12025
MSTRG.3020|Solyc02g021000.3,7647,8699,6990,875,944,996
MSTRG.3022|Solyc02g021020.3,1659,1737,1268,2446,3262,3194
MSTRG.3023|Solyc02g021050.3,2154,3016,2019,1153,1238,1426
MSTRG.3024|Solyc02g021060.3,0,0,0,0,0,0
MSTRG.3024|Solyc02g021063.1,368,479,326,1830,2033,1978
MSTRG.3025|Solyc02g021100.3,1768,1878,1492,2190,2875,2914
Solyc02g021220.1|Solyc02g021220.1,3,5,9,70,127,86
MSTRG.3027|Solyc02g021230.3,42,107,56,455,487,542
Solyc02g021160.2|Solyc02g021160.2,111,147,94,222,451,309
MSTRG.3026|Solyc02g021140.3,4540,5805,4464,1869,2154,2353
MSTRG.3029|Solyc02g021290.1,4,7,28,0,0,0
MSTRG.3028|Solyc02g021240.3,3942,4823,3036,7673,9096,8672
MSTRG.3033|Solyc02g021273.1,0,0,0,0,1,0
MSTRG.3032|Solyc02g021260.2,24,57,38,2182,2296,2187
MSTRG.3033|Solyc02g021270.3,591,675,451,1414,1906,1778
MSTRG.3033|Solyc02g021277.1,4,11,10,15,12,9
MSTRG.3030,517,536,414,1021,1391,1073
MSTRG.3031|Solyc02g021340.3,723,821,585,1153,1317,1119
MSTRG.3035|Solyc02g021360.3,3077,3486,2357,8196,11014,10247
Solyc02g021410.3|Solyc02g021410.3,8,11,10,45,71,79
MSTRG.3034|Solyc02g021400.2,3648,4074,4049,10848,13639,14554
MSTRG.3037|Solyc02g021420.3,8573,9902,6972,18149,25352,24606
MSTRG.3036|Solyc02g021430.1,5381,5394,4630,84,158,104
MSTRG.3038|Solyc02g021440.3,5404,6137,4300,29755,39436,34367
MSTRG.3040,195,183,118,290,297,321
MSTRG.3039|Solyc02g021475.1,0,0,0,0,1,0
MSTRG.3039|Solyc02g021470.3,4317,4715,3300,9291,11824,10822
MSTRG.3043|Solyc02g021480.3,1447,1592,1223,3026,4306,3192
MSTRG.3042|Solyc02g021550.3,1078,1294,1089,3764,4919,4807
MSTRG.3044|Solyc02g021560.3,10481,11648,8738,21353,27506,23316
MSTRG.3045|Solyc02g021590.3,4662,4694,3309,4006,5391,5182
MSTRG.3046|Solyc02g021600.1,1228,1420,1019,1783,2721,2479
MSTRG.3047|Solyc02g021620.3,1636,1924,1273,4402,6252,5069
MSTRG.3048|Solyc02g021640.3,5203,6063,4617,12445,16348,15670
MSTRG.3052|Solyc02g021700.3,1134,1380,1180,4191,5458,5713
MSTRG.3052|Solyc02g021690.2,5,2,0,2,3,2
MSTRG.3050|Solyc02g021650.3,8093,9064,6317,14664,20741,17302
Solyc02g021770.1|Solyc02g021770.1,12,8,0,0,3,11
MSTRG.3051|Solyc02g021760.3,1385,1903,1036,2938,3675,3731
MSTRG.3054|Solyc02g022850.1,207,321,281,1018,1181,1318
MSTRG.3053|Solyc02g022830.3,1267,1756,1091,2809,3850,3092
MSTRG.3055,926,1016,676,2556,3941,3182
MSTRG.3058|Solyc02g022880.1,363,378,247,95,65,62
MSTRG.3056|Solyc02g022860.1,0,0,0,0,6,0
MSTRG.3057|Solyc02g022870.3,2934,3578,2789,6201,8594,8059
MSTRG.3059|Solyc02g022890.2,405,579,530,18,12,0
MSTRG.3059|Solyc02g022900.3,0,0,1,0,0,0
MSTRG.3060|Solyc02g022920.1,240,299,237,850,1116,924
MSTRG.3061|Solyc02g022930.3,751,840,561,3107,4387,3912
MSTRG.3063|Solyc02g022934.1,275,230,156,203,208,234
MSTRG.3062,145,157,101,397,576,523
MSTRG.3064|Solyc02g023950.3,1839,1339,1251,3899,4935,4396
MSTRG.3066|Solyc02g023980.3,1421,1373,990,3951,5243,4808
MSTRG.3065|Solyc02g023970.3,8826,10127,7922,24022,30471,30301
MSTRG.3067|Solyc02g023990.3,2221,2445,1701,271,357,263
MSTRG.3069,14,47,69,525,745,778
MSTRG.3070|Solyc02g024010.1,58,60,31,636,778,651
MSTRG.3068|Solyc02g023997.1,1533,1675,1158,3392,4950,3872
MSTRG.3068|Solyc02g024000.3,0,0,0,0,0,0
MSTRG.3071|Solyc02g024020.3,997,1109,929,2924,3676,3751
MSTRG.3072|Solyc02g024050.3,2940,3109,1880,64583,74188,90497
Solyc02g024075.1|Solyc02g024075.1,0,0,0,0,0,0
MSTRG.3073|Solyc02g024070.3,2731,2668,1515,10712,15756,11859
MSTRG.3074|Solyc02g027080.2,1614,2046,1402,6214,8871,8081
MSTRG.3075|Solyc02g030080.3,1934,2357,1531,9881,11998,11628
MSTRG.3077|Solyc02g030130.3,0,0,0,0,1,1
MSTRG.3077|Solyc02g030120.2,413,348,379,2342,2937,3042
MSTRG.3076|Solyc02g030105.1,0,0,0,0,0,0
MSTRG.3076|Solyc02g030100.3,3046,3137,2341,6707,8666,7851
MSTRG.3079|Solyc02g030210.3,753,796,686,2952,3961,3933
MSTRG.3082|Solyc02g030230.3,330,253,179,2178,2780,2560
MSTRG.3078|Solyc02g030170.3,44163,51352,39863,97264,127996,119994
MSTRG.3083|Solyc02g030250.3,4067,4837,3550,8367,10509,11231
Solyc02g030360.2|Solyc02g030360.2,0,0,4,0,14,7
MSTRG.3084|Solyc02g030300.3,2052,1937,1595,1288,1441,1031
MSTRG.3086|Solyc02g030450.3,477,585,442,1776,1965,1816
Solyc02g030500.1|Solyc02g030500.1,24,6,6,2,4,3
Solyc02g030635.1|Solyc02g030635.1,0,0,0,0,0,0
Solyc02g030655.1|Solyc02g030655.1,0,34,14,0,0,0
Solyc02g030660.2|Solyc02g030660.2,0,0,0,0,0,0
Solyc02g030510.1|Solyc02g030510.1,0,0,0,0,0,0
Solyc02g030520.1|Solyc02g030520.1,0,0,0,0,0,0
Solyc02g030505.1|Solyc02g030505.1,28,63,21,0,0,10
MSTRG.3087|Solyc02g030480.3,1583,1616,1256,851,1614,1634
MSTRG.3088,242,175,148,661,1021,1065
Solyc02g031700.2|Solyc02g031700.2,5,15,7,0,0,0
MSTRG.3089|Solyc02g031710.3,819,650,630,3973,4435,5131
Solyc02g031750.3|Solyc02g031750.3,92,165,130,73,181,108
MSTRG.3090|Solyc02g031740.3,2660,2974,2219,2628,2821,2855
MSTRG.3094,70,103,84,667,685,917
MSTRG.3095|Solyc02g031780.1,9,10,12,9,37,15
MSTRG.3092|Solyc02g031760.2,0,0,0,0,2,9
MSTRG.3091|Solyc02g031770.3,1150,1234,890,1604,1933,2058
MSTRG.3093|Solyc02g031830.1,1324,1485,1158,3125,3963,3340
MSTRG.3097|Solyc02g031850.1,322,288,239,788,1014,1064
MSTRG.3096|Solyc02g031840.3,5107,5256,3366,4602,6284,5503
MSTRG.3098|Solyc02g031920.3,1100,908,529,48,0,8
MSTRG.3099|Solyc02g031930.2,0,0,0,0,0,0
Solyc02g031940.2|Solyc02g031940.2,4,0,0,0,0,0
Solyc02g031950.3|Solyc02g031950.3,25,32,21,0,0,4
MSTRG.3101|Solyc02g031975.1,0,2,2,3,3,3
MSTRG.3101|Solyc02g031970.1,3296,3749,2824,6183,8071,8072
MSTRG.3102|Solyc02g031900.2,11923,13314,9075,34568,50954,40884
MSTRG.3103|Solyc02g031890.2,0,0,0,0,0,0
