gene_id,L1,L2,L3,R1,R2,R3
MSTRG.109|Solyc00g021520.1,0,0,0,0,0,0
MSTRG.110|Solyc00g021530.2,0,0,0,0,0,0
MSTRG.113|Solyc00g021650.1,0,0,0,5,0,0
MSTRG.114|Solyc00g021655.1,0,0,0,0,0,0
MSTRG.115|Solyc00g022070.1,0,1,0,0,0,1
MSTRG.116|Solyc00g022080.1,0,0,0,0,0,0
MSTRG.121|Solyc00g022920.2,0,0,0,0,0,0
MSTRG.122|Solyc00g023020.2,0,0,0,0,0,0
MSTRG.123|Solyc00g023030.1,0,0,0,0,0,0
MSTRG.124|Solyc00g023040.1,0,0,0,0,0,0
MSTRG.125|Solyc00g023050.2,0,0,0,0,0,0
MSTRG.126|Solyc00g023250.2,0,0,0,0,0,0
MSTRG.127|Solyc00g023260.1,0,0,0,0,0,0
MSTRG.128|Solyc00g023270.2,0,0,0,0,0,0
MSTRG.129|Solyc00g023470.1,0,0,0,0,0,0
MSTRG.130|Solyc00g023570.1,0,0,0,6,0,0
MSTRG.131|Solyc00g023580.1,0,0,0,0,0,0
MSTRG.132|Solyc00g023590.2,0,0,0,4,0,0
MSTRG.133|Solyc00g023600.2,0,0,0,0,0,0
MSTRG.134|Solyc00g023700.2,0,0,0,0,0,0
MSTRG.135|Solyc00g023710.1,0,0,4,3,0,0
MSTRG.136|Solyc00g024010.1,0,0,0,0,0,0
MSTRG.137|Solyc00g024020.1,0,0,0,0,0,0
MSTRG.138|Solyc00g024030.1,0,0,0,0,0,0
MSTRG.139|Solyc00g024040.1,0,0,0,0,0,0
MSTRG.140|Solyc00g024050.1,0,0,0,0,0,0
MSTRG.143|Solyc00g024370.1,0,0,0,0,0,0
MSTRG.144|Solyc00g024570.2,0,0,0,0,0,0
MSTRG.145|Solyc00g024670.1,0,0,0,0,0,0
MSTRG.146|Solyc00g024680.2,0,0,0,0,0,0
MSTRG.147|Solyc00g024690.1,0,0,0,0,0,0
MSTRG.149|Solyc00g025300.1,0,0,1,10,0,0
MSTRG.150|Solyc00g025400.2,0,0,0,0,3,2
MSTRG.151|Solyc00g025500.2,0,0,0,0,0,0
MSTRG.152|Solyc00g025510.1,0,0,0,0,0,0
MSTRG.153|Solyc00g025520.1,0,0,0,0,0,0
MSTRG.154|Solyc00g025530.1,0,0,0,0,0,0
MSTRG.155|Solyc00g025540.2,0,0,0,0,0,0
MSTRG.156|Solyc00g025650.2,0,0,0,0,0,0
MSTRG.157|Solyc00g025660.1,0,0,0,0,0,0
MSTRG.100|Solyc00g026160.3,0,0,0,1,2,1
MSTRG.111|Solyc00g021630.1,10,0,20,3,4,5
MSTRG.112|Solyc00g021640.3,5,0,0,6,18,9
MSTRG.117|Solyc00g022090.2,2,0,0,2,0,0
MSTRG.118|Solyc00g022100.1,13,14,10,16,84,61
MSTRG.119|Solyc00g022103.1,18,26,0,24,52,30
MSTRG.120|Solyc00g022107.1,25,18,19,56,109,43
MSTRG.141|Solyc00g024150.3,51388,58763,45813,383,364,282
MSTRG.142|Solyc00g024160.2,22,21,20,4,17,5
MSTRG.148|Solyc00g025290.1,29,14,25,34,68,63
